Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.002124129997359382     4206                     7.977194869656481        7.368142459703545        -0.031048603026747956    0.6454279811023583       0                        0                        0.99995305               0.05                     0.09997297705932552      0.06865576097879966      0.01                     0.4112964173546061       2.5e-06                  0.60107421875            -5.343723                4.8402033                
400                      0.6579618015554216       1760189                  10.082850412534757       10.268773212201879       -0.011696814622737658    0.6064889984573765       0                        0                        0.9780037625             0.05                     0.0881067955579989       0.00018087328452138      0.01                     0.30116174989106026      2.5e-06                  0.07927389705882354      0.014536291              0.15745135               
800                      1.302816603647338        3503680                  14.59279868943575        14.427202393710386       -0.011696814622737658    0.6064889984573765       0                        0                        0.9562104375             0.05                     0.07771880132402892      0.00036903286271648114   0.01                     0.30150916821816387      2.5e-06                  0.1530330882352941       0.03655172               0.2773613                
1200                     1.960530290140046        5250172                  18.70040538296737        19.4875657040671         -0.011696814622737658    0.6064889984573765       0                        0                        0.9343801875000001       0.05000000000000001      0.06854100510347567      0.0002604504404391466    0.01                     0.30520302791976267      2.5e-06                  0.2979600694444444       0.014483033              0.21118414               
1600                     2.6127944796615177       7002455                  21.867547552656845       22.581860225658268       -0.011696814622737658    0.6064889984573765       0                        0                        0.9124756749999999       0.05                     0.060421177898242626     0.0004463007023218779    0.01                     0.3061979509657249       2.5e-06                  0.317626953125           -0.0119984755            0.31663698               
2000                     3.2600196693340937       8747458                  20.47852490302526        25.408512757513662       -0.011696814622737658    0.6064889984573765       0                        0                        0.89066335               0.05                     0.05329155282179526      0.000326568740717903     0.01                     0.3046785184997134       2.5e-06                  0.3388671875             -0.0060730944            0.32830566               
2400                     3.9074347327152887       10494813                 25.952804456533876       24.310554885660995       -0.011696814622737658    0.6064889984573765       0                        0                        0.8688207375             0.05                     0.04699502053962483      0.00038397175111981596   0.01                     0.3111802454222925       2.5e-06                  0.2666015625             0.061243128              0.22283795               
2800                     4.5573925781912275       12239342                 29.12731677499041        26.323274955003914       -0.011696814622737658    0.6064889984573765       0                        0                        0.8470153                0.05                     0.0414513090206381       0.0005182832639150092    0.01                     0.30194258195115253      2.5e-06                  0.30224609375            -0.120181344             0.29035953               
3200                     5.204103162752258        13979379                 26.399813919202614       27.52225481895084        -0.011696814622737658    0.6064889984573765       0                        0                        0.8252638                0.05                     0.03657290854643517      0.0004536610262846352    0.01                     0.30786607350455597      2.5e-06                  0.27978515625            0.078050874              0.2686205                
3600                     5.8451699353588955       15718717                 31.794494675780065       36.53216998666327        -0.011696814622737658    0.6064889984573765       0                        0                        0.803521175              0.05                     0.032270295145650024     0.0008114505866722217    0.01                     0.3180869650095701       2.5e-06                  0.24839154411764705      -0.0068083755            0.25752077               
