Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0028278303146362306    4428                     7.409021085630392        6.884419781226882        -0.03841927357827571     0.6453855819981598       0                        0                        0.9999492625             0.05                     0.0999707974119971       0.040677739221684855     0.01                     0.37192510314943156      2.5e-06                  0.5018382352941176       -4.1607847               3.2491298                
400                      0.8060575056738324       1759375                  8.913212450237328        8.95898246885327         -0.01950216605957029     0.6229370833903445       0                        0                        0.9780136875000001       0.05000000000000001      0.08811182949788901      0.00019005517812248026   0.01                     0.28244606876636247      2.5e-06                  0.08501838235294118      0.0075857234             0.17373243               
800                      1.6012868824270037       3510886                  12.25974893738176        11.67166037855936        -0.01950216605957029     0.6229370833903445       0                        0                        0.9561202875             0.05                     0.07767847999489552      0.00024401596179172082   0.01                     0.2940877305672449       2.5e-06                  0.13304227941176472      0.04812486               0.18924707               
1200                     2.3908876906500924       5256983                  15.854777464052209       16.015091826556578       -0.01950216605957029     0.6229370833903445       0                        0                        0.9342923875             0.05                     0.06850637203778448      0.0002636666158650769    0.01                     0.2917166904491537       2.5e-06                  0.20381433823529413      -0.03111848              0.24511789               
1600                     3.178658065928353        7001075                  20.037428023248054       19.13712371780602        -0.01950216605957029     0.6229370833903445       0                        0                        0.9124933000000001       0.05000000000000001      0.06042730840029229      0.0003454968614025549    0.01                     0.3089761069665352       2.5e-06                  0.1851128472222222       0.017625585              0.24320413               
2000                     3.966270057161649        8744820                  23.366105565791045       21.592236265434785       -0.01950216605957029     0.6229370833903445       0                        0                        0.8906956125             0.05                     0.053301450935048816     0.0004122678119796654    0.01                     0.2989088453571586       2.5e-06                  0.23345588235294118      -0.1436182               0.27844566               
2400                     4.755174748235278        10489716                 25.278733210480762       28.15098664915063        -0.01950216605957029     0.6229370833903445       0                        0                        0.8688840250000001       0.05000000000000001      0.047012144514947174     0.0004662250948967994    0.01                     0.3029787029954605       2.5e-06                  0.269775390625           0.039936338              0.25920734               
2800                     5.542142670618163        12233395                 31.339598000083775       30.797076569174067       -0.01950216605957029     0.6229370833903445       0                        0                        0.8470884375             0.05                     0.04146876424693539      0.0007734183726664495    0.01                     0.31008750424884696      2.5e-06                  0.29411764705882354      0.10947683               0.40000087               
3200                     6.328426082134246        13974190                 37.18860628264132        41.552450803886245       -0.01950216605957029     0.6229370833903445       0                        0                        0.8253269624999999       0.05                     0.036586208602268695     0.0009307872497254935    0.01                     0.3129788201630992       2.5e-06                  0.32490808823529416      -0.076380335             0.3609209                
3600                     7.1188469031122          15724061                 36.51821363192218        43.51743966626914        -0.01950216605957029     0.6229370833903445       0                        0                        0.803457325              0.05                     0.03225843637345512      0.001151342277751155     0.01                     0.28721418225904927      2.5e-06                  0.2470703125             -0.020290472             0.41265652               
