Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0021190958552890354    4255                     8.14558898039304         8.08840160986097         -0.016455653006270308    0.6866322807726284       0                        0                        0.99995285               0.05                     0.09997286196124847      0.06827559855082654      0.01                     0.3961979379528202       2.5e-06                  0.47900390625            -6.0065565               3.4203203                
400                      0.6255871991978751       1737078                  10.183280515956595       9.586528857967654        -0.018679277557166987    0.6687048152661093       0                        0                        0.9782924000000001       0.05000000000000001      0.08825330941613478      0.00015493417559168043   0.01                     0.29978414011352206      2.5e-06                  0.1371783088235294       -0.020582072             0.17423703               
800                      1.250118965903918        3472149                  11.822374650108404       12.539649267011981       -0.018679277557166987    0.6687048152661093       0                        0                        0.9566034                0.05                     0.07789480599551046      0.00015061529979100348   0.01                     0.3002469608669772       2.5e-06                  0.14751838235294118      0.016441915              0.18431807               
1200                     1.8775537388854557       5212159                  15.545502395847453       17.951555480060954       -0.018679277557166987    0.6687048152661093       0                        0                        0.934852375              0.05                     0.06872756187619847      0.00016831494627588065   0.01                     0.34013851781320925      2.5e-06                  0.21576286764705882      0.004930052              0.15843497               
1600                     2.505828401578797        6957646                  18.463987778042313       20.34996623907545        -0.018679277557166987    0.6687048152661093       0                        0                        0.9130342875             0.05                     0.06061578289501689      0.00023368328779457335   0.01                     0.3277972137336346       2.5e-06                  0.23897058823529413      0.0041189576             0.1673474                
2000                     3.1352435373597674       8701010                  22.253590671139484       22.265633303271976       -0.018679277557166987    0.6687048152661093       0                        0                        0.89124175               0.05                     0.05346928479285187      0.0003103078304320661    0.01                     0.3485245263094411       2.5e-06                  0.2881433823529412       0.040597726              0.32188922               
2400                     3.7651724485556284       10439675                 23.480851978640047       23.7862993143051         -0.018679277557166987    0.6687048152661093       0                        0                        0.86951085               0.05                     0.04718208460187429      0.0003245782244726393    0.01                     0.34564093474505675      2.5e-06                  0.23958333333333331      -0.10374666              0.248082                 
2800                     4.504123896691534        12183852                 28.789953915704025       25.36426142246969        -0.018679277557166987    0.6687048152661093       0                        0                        0.847707975              0.05                     0.04161692017799515      0.0005555950404464562    0.01                     0.33378186744327343      2.5e-06                  0.2725694444444444       -0.07203657              0.36291322               
3200                     5.365085917380121        13923008                 30.38528945180272        35.03507896935309        -0.018679277557166987    0.6687048152661093       0                        0                        0.8259679875             0.05                     0.03672146244058198      0.0005765282071195088    0.01                     0.347046397451777        2.5e-06                  0.268798828125           -0.011851273             0.3077874                
3600                     6.22712781700823         15667131                 36.050064874297895       36.77557031648302        -0.018679277557166987    0.6687048152661093       0                        0                        0.804167075              0.05                     0.03239050263997872      0.000528005569861989     0.01                     0.3332827788544819       2.5e-06                  0.26416015625            -0.11843581              0.2687808                
4000                     6.925799939102597        17410442                 36.746617405739514       34.810403083019324       -0.018679277557166987    0.6687048152661093       0                        0                        0.7823756375             0.05000000000000001      0.028571898177667435     0.0004470040660748964    0.01                     0.32871837430866435      2.5e-06                  0.318359375              -0.06320493              0.19276771               
