Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.002068702710999383     4244                     8.706338463378906        8.723764945697301        -0.010006357358548853    0.7203638412120036       0                        0                        0.9999529125             0.05                     0.09997289792938333      0.1611468436076393       0.01                     0.368337117950432        2.5e-06                  0.518310546875           -9.206682                5.150317                 
400                      0.6322648801406224       1733962                  10.738315661924332       10.863174719166764       -0.011353071475816547    0.6865609980680855       0                        0                        0.9783307625             0.05                     0.08827280074965355      0.00012984229687497325   0.01                     0.29468428420231624      2.5e-06                  0.11167279411764705      -0.023450872             0.1435918                
800                      1.2645137931903203       3463771                  14.296649371146993       14.156212716028318       -0.011353071475816547    0.6865609980680855       0                        0                        0.9567082874999999       0.049999999999999996     0.07794185159938072      0.00016422782478537772   0.01                     0.3065529461840496       2.5e-06                  0.1847426470588235       0.12222281               0.18816897               
1200                     1.904139947295189        5203707                  19.3487745289966         18.002027404188162       -0.011353071475816547    0.6865609980680855       0                        0                        0.9349603                0.05                     0.06877027325637289      0.00018601858564312246   0.01                     0.31273338921806393      2.5e-06                  0.20932904411764702      -0.0077560297            0.21272288               
1600                     2.5520856432120005       6950116                  22.14161791271659        20.834366904604323       -0.011353071475816547    0.6865609980680855       0                        0                        0.913128975              0.05                     0.06064883144664678      0.00022863553048784312   0.01                     0.3170143766876529       2.5e-06                  0.24356617647058823      -0.009530837             0.1612274                
2000                     3.207430942720837        8690588                  22.133794235930054       25.07221191245717        -0.011353071475816547    0.6865609980680855       0                        0                        0.89137395               0.05                     0.05350999063911197      0.00025175222179996126   0.01                     0.33207529434002936      2.5e-06                  0.23193359375            -0.017145224             0.21999162               
2400                     3.8671457152896456       10438191                 25.10333607559806        28.279956961716287       -0.011353071475816547    0.6865609980680855       0                        0                        0.8695300875             0.05                     0.04718730983296526      0.00029770555263692385   0.01                     0.3159108598613077       2.5e-06                  0.28732638888888884      -0.025615932             0.23998292               
2800                     4.528833360274633        12180594                 28.900752910630246       30.31708657365131        -0.011353071475816547    0.6865609980680855       0                        0                        0.8477472374999999       0.049999999999999996     0.04162632721090394      0.0002403174250957818    0.01                     0.3347367005836632       2.5e-06                  0.2641059027777778       -0.06736465              0.2131729                
3200                     5.191784351732996        13922117                 26.232402299954266       27.940725601882853       -0.011353071475816547    0.6865609980680855       0                        0                        0.8259802125             0.05                     0.03672404672206194      0.0002386040817441426    0.01                     0.3175475405296311       2.5e-06                  0.252685546875           -0.008334364             0.22559406               
3600                     5.852251243260172        15663152                 28.751169742262114       30.71744335747467        -0.011353071475816547    0.6865609980680855       0                        0                        0.80421555               0.05                     0.03239954229376967      0.0002458835731030216    0.01                     0.3343267319723964       2.5e-06                  0.2683823529411765       -0.0031634155            0.22999553               
