Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.002281506790055169     4548                     7.373385627005147        7.295004325683981        -0.03532622752466686     0.6573106316748423       0                        0                        0.999948975              0.05                     0.09997063196216024      0.1066814961636232       0.01                     0.4323464069618947       2.5e-06                  0.677734375              -7.1580963               5.6893177                
400                      0.6640658166011174       1765723                  8.125487133549331        8.917581640046663        -0.018053876886505442    0.6219246865259814       0                        0                        0.9779335625             0.05                     0.08807119847028587      0.00020505529969608793   0.01                     0.29568234984489045      2.5e-06                  0.08065257352941177      -0.0135414405            0.15461683               
800                      1.3077675986289978       3525558                  11.229313156021709       11.413231630109326       -0.018053876886505442    0.6219246865259814       0                        0                        0.9559371375             0.05                     0.07759662702875683      0.0001667200195858159    0.01                     0.2937581523814622       2.5e-06                  0.18612132352941177      0.15167084               0.19060555               
1200                     1.9521249868472417       5283904                  15.930882060025583       14.903811858622396       -0.018053876886505442    0.6219246865259814       0                        0                        0.933955375              0.05                     0.06837359851506493      0.0002447299933224071    0.01                     0.2971478974556222       2.5e-06                  0.21346507352941177      0.03645507               0.21630803               
1600                     2.594019303255611        7037667                  16.92814072998258        17.36873446539834        -0.018053876886505442    0.6219246865259814       0                        0                        0.9120344250000001       0.05000000000000001      0.060267900486761436     0.00015645852398152142   0.01                     0.31836296464590463      2.5e-06                  0.21852022058823528      0.02263423               0.1258436                
2000                     3.2347233951091767       8785875                  19.317894235489145       21.202486094076907       -0.018053876886505442    0.6219246865259814       0                        0                        0.8901836000000001       0.05000000000000001      0.05314458254696667      0.000254359925065728     0.01                     0.3078462023598453       2.5e-06                  0.2738715277777778       0.04475947               0.19329962               
2400                     3.877155245343844        10533505                 20.98582460950487        20.43155428919033        -0.018053876886505442    0.6219246865259814       0                        0                        0.8683361375             0.05                     0.046864106765987276     0.0002918430180296341    0.01                     0.3099550485391827       2.5e-06                  0.2775735294117647       0.0051728445             0.23829865               
2800                     4.519795575208134        12283596                 21.63056685748748        23.784636644604923       -0.018053876886505442    0.6219246865259814       0                        0                        0.846459775              0.05                     0.04131896530176072      0.0002484922128641141    0.01                     0.30460376467774897      2.5e-06                  0.2300091911764706       0.080837615              0.23321341               
3200                     5.161447330315908        14032485                 23.33268751881377        22.63191497561663        -0.018053876886505442    0.6219246865259814       0                        0                        0.8245996625             0.05                     0.03643335422383546      0.00027157082426280493   0.01                     0.29824573500081897      2.5e-06                  0.2669270833333333       0.06792                  0.19954738               
3600                     5.805706968771087        15785472                 24.207115034016592       25.527488427366137       -0.018053876886505442    0.6219246865259814       0                        0                        0.8026879875             0.05                     0.032115890517955534     0.00044906523577184184   0.01                     0.30507303236259353      2.5e-06                  0.24869791666666666      -0.042093445             0.28389502               
4000                     6.448037227127287        17532763                 27.893633885406032       26.037561794255407       -0.018053876886505442    0.6219246865259814       0                        0                        0.7808440875             0.05                     0.028321106604452067     0.0008082207895085958    0.01                     0.29684025468304753      2.5e-06                  0.24169921875            0.025507834              0.34702873               
4400                     7.085832139982117        19276599                 32.93309095263893        33.008558214328474       -0.018053876886505442    0.6219246865259814       0                        0                        0.759050875              0.049999999999999996     0.024981999049609214     0.0008098034896496149    0.01                     0.3075980375417405       2.5e-06                  0.3016493055555556       -0.024095746             0.4223785                
4800                     7.7193010820945105       21014482                 31.101165125138145       32.74107848312593        -0.018053876886505442    0.6219246865259814       0                        0                        0.73732805               0.05                     0.022045508719243587     0.0009939641767874384    0.01                     0.31048418241826925      2.5e-06                  0.27849264705882354      0.12490035               0.38269174               
5200                     8.35369972705841         22758642                 30.575089480110776       34.39610764615806        -0.018053876886505442    0.6219246865259814       0                        0                        0.7155229625             0.05                     0.01944497576695336      0.0011965923060617773    0.01                     0.2938524912525382       2.5e-06                  0.2894965277777778       -0.19310084              0.58086735               
5600                     8.986268133918445        24495847                 31.656129435259714       38.14607529930244        -0.018053876886505442    0.6219246865259814       0                        0                        0.6938055750000001       0.05                     0.017159867791650806     0.0014800918062225236    0.01                     0.29743674928870273      2.5e-06                  0.2810202205882353       0.32015115               0.4892801                
6000                     9.620907695293427        26241982                 34.77393128894454        41.04102185232729        -0.018053876886505442    0.6219246865259814       0                        0                        0.6719811874999999       0.05                     0.015133973485338301     0.0014858815198345436    0.01                     0.29706280161109233      2.5e-06                  0.263671875              -0.11517115              0.47833943               
6400                     10.253717275261879       27986444                 35.0670734809838         46.734830956334          -0.018053876886505442    0.6219246865259814       0                        0                        0.6501788375             0.05                     0.013348949612273913     0.0017594466510975812    0.01                     0.3017645624673201       2.5e-06                  0.2864583333333333       0.38144502               0.44428313               
6800                     10.888864903450012       29735383                 48.78082105082853        50.14360672205804        -0.018053876886505442    0.6219246865259814       0                        0                        0.628313575              0.05                     0.011770202575599112     0.001509061490330222     0.01                     0.292823793092633        2.5e-06                  0.31204044117647056      0.16685456               0.50917107               
7200                     11.523129489421844       31485762                 49.310641323694156       46.34867623601268        -0.018053876886505442    0.6219246865259814       0                        0                        0.6064341000000001       0.05                     0.010377320978420696     0.0013444529774662643    0.01                     0.28528331292586195      2.5e-06                  0.2593315972222222       -0.0689073               0.502883                 
7600                     12.15665312859747        33232984                 53.92548261410138        45.15725729416617        -0.018053876886505442    0.6219246865259814       0                        0                        0.5845981874999999       0.05                     0.009151567108627441     0.0014047295124126119    0.01                     0.286036593787786        2.5e-06                  0.3140190972222222       -0.21239026              0.42729247               
8000                     12.791051011880239       34984616                 49.94020535465856        49.81036331272825        -0.018053876886505442    0.6219246865259814       0                        0                        0.56270245               0.05                     0.008067818603661236     0.0014997706869454466    0.01                     0.2946937445222455       2.5e-06                  0.32996323529411764      0.30889666               0.41111988               
8400                     13.425714146031273       36733400                 42.29230580116719        48.295763436920154       -0.018053876886505442    0.6219246865259814       0                        0                        0.5408381624999999       0.05                     0.007113697709183912     0.0017050505463582035    0.01                     0.28657537440045017      2.5e-06                  0.2549913194444444       -0.07259781              0.50793254               
8800                     14.05831995844841        38479004                 43.04432336632547        51.45584277994283        -0.018053876886505442    0.6219246865259814       0                        0                        0.5190170375000001       0.05                     0.006273972254099864     0.001423185218621203     0.01                     0.28301279120804634      2.5e-06                  0.3393841911764706       0.14993714               0.4967077                
9200                     14.693052348494529       40228884                 54.72372444877746        49.758795314810754       -0.018053876886505442    0.6219246865259814       0                        0                        0.4971497375             0.05                     0.005531900292595105     0.0013910788581115946    0.01                     0.2804645041880362       2.5e-06                  0.2954963235294118       0.14388424               0.41544524               
9600                     15.32552327891191        41975276                 43.18921538405584        50.0451529436028         -0.018053876886505442    0.6219246865259814       0                        0                        0.47531330000000005      0.05                     0.004878465634218717     0.0019699598410892684    0.01                     0.2938644539783982       2.5e-06                  0.25390625               0.07031746               0.5930262                
10000                    15.95970867448383        43724011                 45.50383803543367        53.129653260484936       -0.018053876886505442    0.6219246865259814       0                        0                        0.45345255               0.05                     0.004301613386664507     0.0016054687927180566    0.01                     0.28462668077554554      2.5e-06                  0.3154296875             0.061263904              0.45497826               
10400                    16.59153553644816        45467493                 48.26200212431361        49.49035920622967        -0.018053876886505442    0.6219246865259814       0                        0                        0.4316612                0.05                     0.00379448639484825      0.0015173433188037427    0.01                     0.2760469364002347       2.5e-06                  0.2732077205882353       0.30690008               0.32470545               
10800                    17.225890465246305       47220734                 44.50279758620994        52.2119912970435         -0.018053876886505442    0.6219246865259814       0                        0                        0.4097442250000001       0.05                     0.0033447261259115352    0.0013362398510139428    0.01                     0.28411188832251355      2.5e-06                  0.278076171875           0.037988007              0.28659695               
11200                    17.85880236208439        48972650                 58.09888341225562        53.35149837010576        -0.018053876886505442    0.6219246865259814       0                        0                        0.3878642                0.05                     0.0029489030863494707    0.001558508389362859     0.01                     0.2777770512568002       2.5e-06                  0.32137784090909094      -0.15853202              0.5973939                
11600                    18.494390790992313       50727039                 52.945915564135106       57.73307040373324        -0.018053876886505442    0.6219246865259814       0                        0                        0.3659284125             0.05                     0.0025990882821412       0.002049401389307431     0.01                     0.2780172232804554       2.5e-06                  0.30189732142857145      -0.063099355             0.49604738               
12000                    19.12744019322925        52471973                 44.67512871270115        54.26973343660664        -0.018053876886505442    0.6219246865259814       0                        0                        0.34410577499999995      0.05                     0.002292262963571175     0.002052316107972943     0.01                     0.28959432184038797      2.5e-06                  0.30721507352941174      0.27475056               0.60454756               
12400                    19.75906566063563        54214347                 48.363220223346445       54.21269030369713        -0.018053876886505442    0.6219246865259814       0                        0                        0.32233766250000007      0.05                     0.0020222933616397074    0.001949324187824624     0.01                     0.2866743871180171       2.5e-06                  0.3061079545454546       0.18192317               0.5636102                
12800                    20.39261461860604        55960275                 38.93951525357276        45.698230155870334       -0.018053876886505442    0.6219246865259814       0                        0                        0.30050109999999997      0.05                     0.0017834163752631054    0.0023311090388982423    0.01                     0.2761123546344393       2.5e-06                  0.2745863970588235       -0.31917354              0.62618583               
13200                    21.027543183830048       57710168                 52.58115641427128        46.9153470335673         -0.018053876886505442    0.6219246865259814       0                        0                        0.278643175              0.05                     0.001572562581177569     0.00193974149153126      0.01                     0.2767802634361115       2.5e-06                  0.2970525568181818       0.5165482                0.7611363                
13600                    21.66132485800319        59456098                 53.12204262459382        52.522115189306476       -0.018053876886505442    0.6219246865259814       0                        0                        0.2568016375             0.05                     0.0013867689007820044    0.0013520394357442456    0.01                     0.2479376785340719       2.5e-06                  0.334228515625           0.2163008                0.55891204               
14000                    22.2929788428545         61201755                 56.85124863269487        55.537857943204884       -0.018053876886505442    0.6219246865259814       0                        0                        0.23498363749999998      0.05                     0.0012230919104486585    0.0009068529603502933    0.01                     0.264211899436572        2.5e-06                  0.3187040441176471       0.12594624               0.48915365               
14400                    22.929659847683375       62957970                 49.916642060461854       53.06078538426104        -0.018053876886505442    0.6219246865259814       0                        0                        0.21304412499999997      0.05                     0.0010779790298199184    0.001846918907259268     0.01                     0.2643351999365471       2.5e-06                  0.30628551136363635      -0.31150374              0.72153074               
14800                    23.563026161789892       64701943                 51.757653907186665       45.65921320514681        -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.0016846253824951418    0.01                     0.26752602559281513      2.5e-06                  0.357421875              -0.44132692              0.7228729                
15200                    24.197184131211706       66447988                 58.34292062781572        53.066576313549334       -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.0013956768700815949    0.01                     0.2588183065368371       2.5e-06                  0.30859375               0.3214853                0.55277693               
15600                    24.830813172128465       68189456                 51.06512642840407        51.871598622441354       -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.001567579801179487     0.01                     0.26045216907831753      2.5e-06                  0.31782670454545453      -0.24896592              0.50329155               
16000                    25.467784170971978       69943508                 57.687317492870534       53.685737197607324       -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.0010048708449878839    0.01                     0.2718113987198607       2.5e-06                  0.326171875              0.21163888               0.47554302               
16400                    26.10558441751533        71691809                 49.11649438585165        51.60806758554714        -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.001176121099941905     0.01                     0.25377567528801803      2.5e-06                  0.2984834558823529       0.06472494               0.46067846               
16800                    26.742142793337504       73441160                 54.204976047938075       57.033560410472646       -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.0012162900802249008    0.01                     0.25787225409465675      2.5e-06                  0.31985294117647056      -0.45955607              0.5412142                
17200                    27.37918005870448        75194560                 51.79497331289248        57.553737916019145       -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.001320823540525106     0.01                     0.252560277070318        2.5e-06                  0.34877232142857145      -0.22565252              0.54721296               
17600                    28.01335572289096        76939737                 52.2691744885949         53.93192187064697        -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.0015114353300305083    0.01                     0.26022871740860865      2.5e-06                  0.38427734375            -0.3636663               0.5160399                
18000                    28.646792190008693       78682856                 45.00067488983146        50.32398355453276        -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.00161392798562541      0.01                     0.24153419386814623      2.5e-06                  0.3586856617647059       -0.5573993               0.80677205               
18400                    29.280927548077372       80427618                 57.38784553198922        55.86795877372289        -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.0014773011382658296    0.01                     0.2653866623295471       2.5e-06                  0.331298828125           0.10065184               0.4075651                
18800                    29.916742695238856       82179090                 52.267058400954696       55.781616359804936       -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.001246890273829525     0.01                     0.27186992214145983      2.5e-06                  0.3718039772727273       0.11978961               0.6320672                
19200                    30.552243835462463       83924758                 50.72543249943235        57.20833498024435        -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.0017338927994387634    0.01                     0.2639737665653229       2.5e-06                  0.30195312500000004      0.422149                 0.36841232               
19600                    31.188886069787873       85673837                 50.461854027903755       46.86057356463698        -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.0015063636496961408    0.01                     0.2551730800769292       2.5e-06                  0.404541015625           -0.3310805               0.54953784               
20000                    31.82660767502255        87426490                 47.8133264062766         49.574595225133216       -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.00163184767595393      0.01                     0.25437290265279655      2.5e-06                  0.34719669117647056      -0.836968                0.69418883               
20400                    32.46292578962114        89170655                 42.15542697638239        51.10946206478003        -0.018053876886505442    0.6219246865259814       0                        0                        0.2                      0.05                     0.0010000000000000002    0.0014777109735244747    0.01                     0.23630306179470875      2.5e-06                  0.3545496323529412       0.50219065               0.32787406               
