,root_pos_x,root_pos_y,root_pos_z,root_vel_x,root_vel_y,root_vel_z,root_orn_r,root_orn_p,root_orn_y,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,com_pos_x,com_pos_y,com_pos_z,com_vel_x,com_vel_y,com_vel_z,back_bkz_orn_r,back_bkz_orn_p,back_bkz_orn_y,back_bkz_vel_x,back_bkz_vel_y,back_bkz_vel_z,back_bkx_orn_r,back_bkx_orn_p,back_bkx_orn_y,back_bkx_vel_x,back_bkx_vel_y,back_bkx_vel_z,neck_ry_orn_r,neck_ry_orn_p,neck_ry_orn_y,neck_ry_vel_x,neck_ry_vel_y,neck_ry_vel_z,r_leg_hpy_orn_r,r_leg_hpy_orn_p,r_leg_hpy_orn_y,r_leg_hpy_vel_x,r_leg_hpy_vel_y,r_leg_hpy_vel_z,r_leg_kny_angel,r_leg_kny_vel,r_leg_akx_orn_r,r_leg_akx_orn_p,r_leg_akx_orn_y,r_leg_akx_vel_x,r_leg_akx_vel_y,r_leg_akx_vel_z,r_arm_ely_orn_r,r_arm_ely_orn_p,r_arm_ely_orn_y,r_arm_ely_vel_x,r_arm_ely_vel_y,r_arm_ely_vel_z,r_arm_elx_angle,r_arm_elx_vel,l_leg_hpy_orn_r,l_leg_hpy_orn_p,l_leg_hpy_orn_y,l_leg_hpy_vel_x,l_leg_hpy_vel_y,l_leg_hpy_vel_z,l_leg_kny_angel,l_leg_kny_vel,l_leg_akx_orn_r,l_leg_akx_orn_p,l_leg_akx_orn_y,l_leg_akx_vel_x,l_leg_akx_vel_y,l_leg_akx_vel_z,l_arm_ely_orn_r,l_arm_ely_orn_p,l_arm_ely_orn_y,l_arm_ely_vel_x,l_arm_ely_vel_y,l_arm_ely_vel_z,l_arm_elx_angle,l_arm_elx_vel,l_leg_akx_pos_x,l_leg_akx_pos_y,l_leg_akx_pos_z,r_leg_akx_pos_x,r_leg_akx_pos_y,r_leg_akx_pos_z
0,-0.00038036109250727534,0.01792594557512983,0.0005895925914300654,-0.09128666220174675,-0.0819167148142542,0.14110799536617377,0.0037206345863050982,-0.0006394802244680898,0.003329055995852452,-0.8928740184243016,-0.8987942981848004,-0.420620028040625,-0.0450997493608255,0.41362962701782846,-0.035600405158330024,1.1604947916162927,0.04955694316852888,0.08992431463246942,0.004808942886704705,0.001746464896300556,-0.09046274892584664,0.4064570229720801,-0.32853397153869807,0.42308369822941655,0.002020269939956431,0.09911422288918594,-0.08436738739240467,0.29337412387272216,0.24760742242330977,0.43725719357976867,0.0019816620427864405,0.09534377805691219,-0.08423889612721133,0.3056328462904665,-0.6572356680228608,0.4697611188342118,-0.08309487815602902,-0.2643368498954413,0.09316562133400712,-0.2725668581345455,0.8073951625410046,-0.8911390425250656,0.018778058918255458,-0.9362935807275187,-0.031636444677687954,-0.005239447407187937,-0.3221572688784915,2.2251916351028433,-5.232947828530079,-0.8095497513943639,-0.3159784260041683,0.4209272259472179,0.05312121940140943,0.31133593670358384,-2.2004219663091065,2.2004219663091065,-0.004014398178099787,-1.8710518665960822,-0.021811991820084014,0.5878584261926334,0.3542195296791231,0.03898445557635405,-1.485736872674339,-1.1096765222972125,0.012426883810932599,0.7339521746262451,-0.10402124370945845,0.047846631617959046,0.0660601436066271,-2.0551878997743485,-0.9610352989757418,-1.1121654309030282,0.11948100506405213,-0.09776321291281222,-0.3178742276122849,0.16237854249298397,1.9195411702633867,-1.9195411702633867,-0.0031986406562184433,-0.9445008305753477,0.03137300457636705,-0.017492509411748694,-0.04418749322072027,0.09597536562053549,-0.02858771254584043,-0.013062689436720475
1,-0.0011351644614427947,0.01772990009573716,0.001395031164606899,-0.18115280854453109,-0.03011367919502984,0.17038584845156232,0.009000050769529337,-0.002838112040337123,0.007813394426452104,-1.267771567991827,-1.1817530764254052,-0.784723104841172,-0.04497543877962551,0.41359033624323693,-0.03554695719146661,1.1806568310582672,0.032151662793146275,0.0774775988349769,0.010025477588675422,0.00011446103360241562,-0.08805919699221444,0.030412109472310406,-0.6881187936538784,0.4948420174386927,0.0015857048306087776,0.10038969404190715,-0.08126979995453061,0.34897263665042133,0.22993761714251568,0.508198623246084,0.0014717161995854414,0.09129515299974704,-0.08096901854144906,0.3690318184992985,-1.0477766779554774,0.5522188141847063,-0.08579690495607385,-0.2599838879918463,0.09596616025866647,-0.012490466652269105,0.6948064297539426,-1.216522871795249,0.04606737458508614,1.1064080389305235,-0.030870585640267633,-0.01931879826699294,-0.35375058233896717,1.9893041279762926,-4.0753281807630515,-1.1428871217762455,-0.31100134715165634,0.4260993584983729,0.04809947846823017,0.3120053053469059,-2.568641351299238,2.568641351299238,-0.009929120950699977,-2.32712976927621,-0.026728569799558264,0.5794817921203281,0.345733809462637,0.07083803342196049,-2.1360598662152523,-1.439630754462221,0.031224047311304903,2.262819300091761,-0.08863465315498495,0.04557007495845724,0.05443909956193064,-1.991453341135585,0.0839696584920883,-1.5179854824172705,0.12257908066285833,-0.10835030616389016,-0.3176686538234252,0.15306861720823756,1.9449279900157137,-1.9449279900157137,-0.00811657343693864,-1.3571309404557728,0.03323429006955281,-0.01877924607490046,-0.04579611207056192,0.09939822774699181,-0.03454873817182859,-0.012854035154326982
2,-0.002176040167741422,0.01738866490404889,0.0022584814827321083,-0.24981016951168744,-0.01619086040741964,0.20523137940251612,0.014982738377849697,-0.006309424171966929,0.012780941620954372,-1.4390808063340235,-1.3089088788209065,-1.0769185839361726,-0.044773954903318924,0.41346793256408,-0.03554092880255518,1.1940064849165148,0.005742121389612086,0.06879975895673172,0.01595033633752157,-0.0027510372652595717,-0.08562719530929963,-0.139453813238525,-0.97834893994424,0.5121745542919687,0.000968850753037251,0.10150807861126912,-0.07809613709343695,0.395818344826498,0.1937206494706588,0.5255312200674874,0.0007465797270710296,0.08659633882486191,-0.0776178989869504,0.4208340750512761,-1.2023808066887154,0.5713074212551699,-0.08848987873986536,-0.2551310287890729,0.0985641407397729,-0.0031771389990579157,0.8275557635494935,-1.2486397508496128,0.07773561194655154,2.15734924564286,-0.028454238671684746,-0.02798217073381092,-0.3857935468147948,1.603767371218069,-2.785234712207457,-1.1843187149816619,-0.30484461361457726,0.4283314508471298,0.04626087914760724,0.2922669000011776,-1.68035680934174,1.68035680934174,-0.016041397209325403,-2.374542605922238,-0.0319583181408023,0.5695941192875542,0.3368272390677675,0.1038400666811431,-2.490042572246705,-1.5556107790055478,0.05316121382936867,3.016420024337715,-0.0737451131091214,0.04575782662670017,0.0419769989798324,-1.8748194588329354,0.6650158515637152,-1.6691917583037752,0.12584924527187938,-0.11494306988611436,-0.31806872039908385,0.17627565662077072,1.0118654089956207,-1.0118654089956207,-0.013595095683403835,-1.4916724122345706,0.03506452813129968,-0.020350542983123318,-0.04766342368590705,0.10449544732002125,-0.04189147753425822,-0.01206252191955319
3,-0.0034325485102000286,0.016892881474954713,0.0031141990453017595,-0.3015620021900606,-0.01804672174075321,0.24232295637994858,0.02127826482100392,-0.010736611962214135,0.017910141522107896,-1.5180447797080185,-1.3629292282117282,-1.2919854511860343,-0.044525010263947284,0.4132264073367796,-0.035566544948959465,1.2019765388966575,-0.025846586598258583,0.06115621195772732,0.0221890611646846,-0.006539358854973889,-0.0831580230407959,-0.21541409242190773,-1.193366722750068,0.5354600589266023,0.0001949901000903288,0.10243111961873147,-0.0748252931773426,0.43694486358878754,0.14824140486541054,0.5481579601045411,-0.00016569488401270318,0.08166582266592584,-0.07418006690542665,0.46535932277374653,-1.256660577066187,0.5916479009437625,-0.09086090491615935,-0.2493674239013005,0.10127764434535157,-0.09033530176164727,1.0528019617064184,-1.1978000242109907,0.1118426350752707,2.7426578297837723,-0.02450030794313424,-0.03216411201868835,-0.4178542797625829,1.238979963700441,-1.723756420042086,-1.1403518357471405,-0.2973883824183939,0.42745043047694065,0.04759015088817799,0.3012140058606036,-0.7618042904889417,0.7618042904889417,-0.021875212482637574,-2.3077119694470767,-0.037224556324283356,0.5588334007358537,0.3280082817275144,0.13921231713679938,-2.6922070188724687,-1.5696187460250477,0.0764667718163815,3.3448339768854867,-0.05941545370310403,0.04713292757390086,0.029378854895270184,-1.7401813234095307,0.9247892004074393,-1.6940287181800187,0.12930493419122402,-0.11756547153800599,-0.31907715149707017,0.20358879131598806,0.08666759182061759,-0.08666759182061759,-0.018828926589484846,-1.432946490542365,0.036580561612150064,-0.02219467992887722,-0.049747570396943955,0.11102071893258941,-0.050286696330640174,-0.010744117585999031
4,-0.004856027402504792,0.016238987494925583,0.00393444948870782,-0.34163493415314905,-0.02655883034001532,0.28026948860432743,0.027706666371446077,-0.015793208412373243,0.02304515610568173,-1.554621988143756,-1.3816494284710463,-1.4285921243580209,-0.044250875614184504,0.412844917546757,-0.035618955801401536,1.2061666755997773,-0.06081848367281066,0.05398622176631198,0.028560136615225665,-0.010929831757357669,-0.08063752393065579,-0.2485080449249404,-1.3308258800428208,0.5641142540423426,-0.0007185114406692135,0.1031282469192149,-0.07144032428947475,0.47413513767701787,0.09536311709880557,0.5750173808753558,-0.0012466414453526779,0.07664074089314905,-0.07064370338547724,0.5052261577150001,-1.2781121862166367,0.6148090720092682,-0.09278866119050161,-0.24256737847925053,0.10413989832988908,-0.21029423646406636,1.3069485293872645,-1.1354373457068998,0.1473866770730391,3.087542358355605,-0.01921627129106536,-0.032713969091161435,-0.44979705852682805,0.9187184274628969,-0.8679753128547513,-1.0833707451935977,-0.2887728733571135,0.42414940722148403,0.05149379999817723,0.33708370636904766,-0.049063273462060325,0.049063273462060325,-0.027307794962627363,-2.211416099049695,-0.04240361156005094,0.5475210297466592,0.31951961498103476,0.1758369589519161,-2.818760861316957,-1.533682400791358,0.10017482324093502,3.4414324018952445,-0.04565662717909492,0.04885633483748831,0.016994126117638193,-1.6022096294679875,0.9797174912478067,-1.655428858371749,0.1329269081915953,-0.11725275819295494,-0.3207223601043657,0.22690567247750273,-0.5890788123761668,0.5890788123761668,-0.02354235960730125,-1.30805099735886,0.03762371019145494,-0.0243093533370351,-0.052018260745406046,0.11879973918528836,-0.05951066649683062,-0.008938818223724429
5,-0.006204030304517327,0.015394312366346363,0.004595038266671634,-0.22500613967035965,-0.059603588505294056,0.2378700751167757,0.033202433325265006,-0.02134855320403955,0.028085103243928246,-0.8743606651342947,-1.2687263465328042,-1.4732541162253596,-0.043820596152133295,0.41231093741616465,-0.035661264673949776,1.2077987379712436,-0.09813110543685408,0.047122397078783754,0.03401713542742308,-0.01590033698467797,-0.07808004217149526,-0.26161330777915515,-1.4062688695044128,0.5961617062343325,-0.001983841510875763,0.10351057144232913,-0.06772764099897126,0.5082191480132313,0.03788936777781233,0.6044596284735008,-0.002707727514239769,0.07148842866111811,-0.06678912076834048,0.541652417932345,-1.290753082225382,0.640133377268191,-0.09356609535771121,-0.23351822851630044,0.10825566100255897,-0.3367743946695764,1.5634400814713851,-1.0828104824894524,0.18501438961231964,3.29765662883937,-0.012119783479353602,-0.030333667604253784,-0.48158672677754005,0.6403791098075565,-0.16108446044115968,-1.0355378503962482,-0.27986795802632053,0.418598431686782,0.05698690603533146,0.3933201581364216,0.4652252268883891,-0.4652252268883891,-0.032559110914407996,-2.1131890707170498,-0.047469876465465764,0.5354687406527525,0.3105752295220336,0.21230991341084504,-2.9069999247759313,-1.47454897733618,0.12165968167311386,3.4111972036965095,-0.033806478481961576,0.051243717024043185,0.006272515678077279,-1.467930838320986,0.909223981311908,-1.5867253920016262,0.13668974434934208,-0.1154280935783803,-0.32203565247858884,0.2500594622432035,-1.0608450090586867,1.0608450090586867,-0.02775390259770824,-1.1715183935215123,0.03812533646060334,-0.0265479149754672,-0.05447562785532052,0.1273250089821274,-0.06939936251071116,-0.0068324457437850886
6,-0.007249729548853168,0.014327096802013384,0.004982348530264983,-0.25096781864059836,-0.07154211660079082,0.2767425598728712,0.036766683803925976,-0.027320318248300765,0.03298820672005676,-0.8809388088165422,-1.2578520168550655,-1.502210378123537,-0.04310221353825594,0.41161177081857125,-0.035659186748465375,1.207744964169937,-0.1371532496766781,0.040523921172066324,0.037580552912894326,-0.021483265383950945,-0.07548340395840822,-0.2653725696798672,-1.436606556676972,0.6297278097027436,-0.0038104406287497515,0.10350323883105317,-0.0634850815626662,0.5395817254168519,-0.022018372199214188,0.6350456907070756,-0.004757780300861049,0.06614804105012542,-0.06240204038673183,0.5751946509271346,-1.3025656587659142,0.6665512786177099,-0.0925433075910867,-0.2210695224606547,0.1147075441908481,-0.45912328307979994,1.811418998745379,-1.04354089749225,0.22556553031163495,3.426831550146998,-0.002861427118130655,-0.025510589824511255,-0.5132414670609831,0.3974228284695623,0.43899397237006593,-1.0009829883863917,-0.27149813856422017,0.4108244710465886,0.06324166748993297,0.46445728824831833,0.8316644780995955,-0.8316644780995955,-0.03788487776143468,-2.023023836878155,-0.052418224001204584,0.5224224752094107,0.3003470846806666,0.2475254416244531,-2.9746750143433682,-1.4063541766522638,0.1385894510172921,3.311644582600376,-0.025163126352524604,0.054784001688435675,-0.0014863055934010443,-1.340757542452526,0.7644081613320913,-1.5058885540134308,0.14058705754379291,-0.11323391795077048,-0.3220668648812238,0.27707823439451307,-1.392701798085115,1.392701798085115,-0.03158017635508839,-1.0473108619776466,0.03806542627147769,-0.028750474435587356,-0.05711664120892585,0.13612480261954008,-0.07984258801313351,-0.004647889791460448
7,-0.008384270494716906,0.013115897221624317,0.005244358170887032,-0.27228982700730797,-0.10161426611390295,0.31129872372636064,0.0398776325602174,-0.03317141834355714,0.03758402505394275,-0.7763909786649614,-1.1912023665787426,-1.4691125465704356,-0.04239155575647313,0.41073543161493586,-0.03568119887691672,1.2053747657047926,-0.17334658968176855,0.03493392198944236,0.04068826560085664,-0.02695700458713926,-0.07277950909947334,-0.15984494563665114,-1.4054336366988411,0.6623892383874991,-0.005726663741130151,0.1032181828142698,-0.05910886034098087,0.5642723361788387,-0.08883922379772917,0.6670008367062228,-0.006923608139862001,0.06083644898212343,-0.057893144822982974,0.6011928207779204,-1.2960485676575477,0.6938749365376781,-0.09092396676690162,-0.20765875555929178,0.12139390101972436,-0.621941868209733,2.0395206823148215,-0.9695077346134676,0.2663917408777329,3.4928483181748073,0.006805468837919534,-0.018250235337369452,-0.5445250312713096,0.23683965475673172,0.9957854944080904,-0.925150714748194,-0.2624041424570701,0.4021596371912757,0.07079618328687838,0.5407069079343436,1.0990632247761234,-1.0990632247761234,-0.04287830178231328,-1.9432615586025912,-0.056531241158337464,0.5088601874545106,0.2891905247788178,-0.045582344642908446,-3.0791032107593215,-1.6332853427619398,0.15818054189497935,3.9503617506425472,-0.02817496856076873,0.04437677359182508,-0.009606254213702467,1.4465696822442033,-2.5948957646635358,-1.6796527409807425,0.14466853139574037,-0.10988167876927159,-0.3227976736947882,0.30735787069234133,-1.6383218783288158,1.6383218783288158,-0.034942812485713015,-0.9360378315563207,0.0377030567761335,-0.03126917738362081,-0.05997410768109399,0.14585601678379584,-0.09074109923431929,-0.0021282699791810855
8,-0.009598792004914536,0.011767930606340848,0.005373995821787951,-0.29148516244743505,-0.13338354364697413,0.34412281210098977,0.04249002962770107,-0.03874339796884629,0.04178326472241566,-0.6591911002041786,-1.1006195766226128,-1.400079103238707,-0.041698041268357966,0.4096933864164942,-0.03572302157003343,1.2012241914411623,-0.20844278741350292,0.029589590653731433,0.04329426011957139,-0.032171375850165225,-0.06996858095188635,-0.043523006079611896,-1.338360324607575,0.6924954937510358,-0.007724163703516807,0.10263688096165811,-0.05460610343313373,0.5865814449332223,-0.16033347508647156,0.6969690977867593,-0.009195930426722348,0.0555313412586793,-0.05326889870964074,0.6245682340300751,-1.2951385372105642,0.7194793794455752,-0.0887419254466635,-0.19337358955070796,0.12824849891152734,-0.7730567611601185,2.247592814223553,-0.914305189980264,0.30738527369906715,3.533005659431535,0.01677673834376911,-0.00880854576045535,-0.5754545517824258,0.10172394847106978,1.495761282495777,-0.8697524335554813,-0.2526658690906861,0.3927852734683057,0.07947222085234314,0.6217954560494081,1.3089625577017223,-1.3089625577017223,-0.04757935708432559,-1.8730930660746912,-0.059516192052968486,0.4952277543368454,0.27793218694578525,-0.3076193235782216,-3.086062891839066,-1.6810240192419597,0.1794452090511299,4.352020057473733,-0.03711898256897901,0.028490890693775653,-0.017506128031503528,2.8876406124575342,-3.907313144316553,-1.6586962896436683,0.14894815597850328,-0.10558017757716232,-0.32422727111116595,0.34267931055909207,-1.8319651384349036,1.8319651384349036,-0.03790894566529476,-0.8408771233060244,0.03751371856262087,-0.03381714730233874,-0.06258142182791267,0.15644652324192776,-0.10199571747938335,0.0007012367450166257
9,-0.009598792004914536,0.011767930606340848,0.005373995821787951,-0.29148516244743505,-0.13338354364697413,0.34412281210098977,0.04249002962770107,-0.03874339796884629,0.04178326472241566,-0.6591911002041786,-1.1006195766226128,-1.400079103238707,-0.03669926211398222,0.4088246784006202,-0.03558471486512922,1.2014321903504948,-0.20880002454559685,0.03438125494297629,0.04329426011957139,-0.032171375850165225,-0.06996858095188635,-0.043523006079611896,-1.338360324607575,0.6924954937510358,-0.007724163703516807,0.10263688096165811,-0.05460610343313373,0.5865814449332223,-0.16033347508647156,0.6969690977867593,-0.009195930426722348,0.0555313412586793,-0.05326889870964074,0.6245682340300751,-1.2951385372105642,0.7194793794455752,-0.0887419254466635,-0.19337358955070796,0.12824849891152734,-0.7730567611601185,2.247592814223553,-0.914305189980264,0.30738527369906715,3.533005659431535,0.01677673834376911,-0.00880854576045535,-0.5754545517824258,0.10172394847106978,1.495761282495777,-0.8697524335554813,-0.2526658690906861,0.3927852734683057,0.07947222085234314,0.6217954560494081,1.3089625577017223,-1.3089625577017223,-0.04757935708432559,-1.8730930660746912,-0.059516192052968486,0.4952277543368454,0.27793218694578525,-0.3076193235782216,-3.086062891839066,-1.6810240192419597,0.1794452090511299,4.352020057473733,-0.03711898256897901,0.028490890693775653,-0.017506128031503528,2.8876406124575342,-3.907313144316553,-1.6586962896436683,0.14894815597850328,-0.10558017757716232,-0.32422727111116595,0.34267931055909207,-1.8319651384349036,1.8319651384349036,-0.03790894566529476,-0.8408771233060244,0.03751371856262087,-0.03381714730233874,-0.06258142182791267,0.15644652324192776,-0.10199571747938335,0.0007012367450166257
